RMS,Peak,Kurtosis,Skewness,Fault
0.07619914061247524,0.27286892307692306,-0.14622870807904143,-0.08024689056979314,Normal
0.07264621772722907,0.2492953846153846,-0.10545693674358736,-0.07860814395626049,Normal
0.0727951951780779,0.23677846153846152,-0.21525593332055548,-0.09814169082937825,Normal
0.07328545981768378,0.2482523076923077,-0.330372208212947,-0.07313690116879859,Normal
0.07362603443677737,0.23823876923076923,-0.24436475420637915,-0.05999397332674865,Normal
0.07403962487588034,0.28663753846153844,-0.21184425149072172,-0.13378687701325842,Normal
0.07204061670872525,0.22780799999999998,-0.29788851304978214,-0.08905230058617113,Normal
0.07294295814249281,0.24011630769230768,-0.2591181772209943,-0.04873444898114188,Normal
0.07277093439584399,0.2526332307692308,-0.13761373790306486,-0.006315031357244723,Normal
0.07536787790702311,0.31125415384615385,-0.11104859391173205,0.03883833753497012,Normal
0.07174622337329298,0.2526332307692308,-0.17721387281865741,-0.026889850599197088,Normal
0.07347759147457411,0.27140861538461536,-0.13224113229731316,0.08497730257719661,Normal
0.0713031209110313,0.26452430769230767,-0.14206508431609244,-0.0005699638478176097,Normal
0.0731870718869462,0.2261390769230769,-0.2221373142935743,-0.04274723241946288,Normal
0.07219514182959824,0.2369870769230769,-0.13679059829592877,0.02289016320067516,Normal
0.07179575296934597,0.24616615384615384,-0.16898006062437165,-0.050710345813378535,Normal
0.07176338156712687,0.21612553846153845,-0.3798725783404695,-0.0544559699481666,Normal
0.07383185642529015,0.23281476923076924,-0.37462064901307146,-0.024607905530310115,Normal
0.07372760108135884,0.2628553846153846,-0.29986576121507325,0.02007450194996132,Normal
0.07481034064163113,0.2641070769230769,-0.3321149605191063,-0.05383608650840723,Normal
0.07051601542321873,0.21007569230769232,-0.3535018443107316,-0.03905107942803636,Normal
0.07047697051582626,0.23761292307692305,-0.351927347000053,-0.021951332631191377,Normal
0.07130385504498439,0.2355267692307692,-0.2243374164580647,-0.01317346019793877,Normal
0.07386363558092005,0.24866953846153847,-0.07519647287420783,-0.03558264393077722,Normal
0.07266825625244551,0.2371956923076923,-0.18702931933049527,-0.04277749017840338,Normal
0.07295451090050713,0.21132738461538458,-0.36484562636236006,-0.059826290106658214,Normal
0.07556610156098607,0.24595753846153845,-0.43129128960061713,-0.0016336666375192993,Normal
0.07397709686151402,0.2507556923076923,-0.39849010654320205,-0.1000871599709997,Normal
0.07708312337992582,0.26535876923076923,-0.32322251637067323,-0.027532481877471027,Normal
0.07569208717155719,0.238656,-0.36295895665654143,-0.08702221773162078,Normal
0.07576792681204488,0.24574892307692306,-0.3260389053991921,-0.0439474942692729,Normal
0.07408156129643025,0.23677846153846152,-0.15353467430446832,-0.005983477694862821,Normal
0.07518966181900118,0.25847446153846154,-0.06191296010737801,-0.05424096780426994,Normal
0.07479494660810168,0.23052,-0.22448802832052817,-0.09073775247409288,Normal
0.0744410538649805,0.25951753846153847,-0.138239297880288,-0.019367370333392978,Normal
